Week,FluVisits
2012-12-24/2012-12-30,2961
2012-12-31/2013-01-06,2303
2013-01-07/2013-01-13,2291
2013-01-14/2013-01-20,2258
2013-01-21/2013-01-27,2012
2013-01-28/2013-02-03,1510
2013-02-04/2013-02-10,1134
2013-02-11/2013-02-17,930
2013-02-18/2013-02-24,825
2013-02-25/2013-03-03,755
2013-03-04/2013-03-10,792
2013-03-11/2013-03-17,802
2013-03-18/2013-03-24,702
2013-03-25/2013-03-31,590
2013-04-01/2013-04-07,492
2013-04-08/2013-04-14,304
2013-04-15/2013-04-21,191
2013-04-22/2013-04-28,115
2013-04-29/2013-05-05,81
2013-05-06/2013-05-12,55
2013-05-13/2013-05-19,43
2013-05-20/2013-05-26,34
2013-05-27/2013-06-02,29
2013-06-03/2013-06-09,23
2013-06-10/2013-06-16,17
2013-06-17/2013-06-23,17
2013-06-24/2013-06-30,16
2013-07-01/2013-07-07,14
2013-07-08/2013-07-14,11
2013-07-15/2013-07-21,13
2013-07-22/2013-07-28,14
2013-07-29/2013-08-04,10
2013-08-05/2013-08-11,13
2013-08-12/2013-08-18,13
2013-08-19/2013-08-25,13
2013-08-26/2013-09-01,22
2013-09-02/2013-09-08,29
2013-09-09/2013-09-15,39
2013-09-16/2013-09-22,45
2013-09-23/2013-09-29,57
2013-09-30/2013-10-06,68
2013-10-07/2013-10-13,70
2013-10-14/2013-10-20,85
2013-10-21/2013-10-27,95
2013-10-28/2013-11-03,108
2013-11-04/2013-11-10,129
2013-11-11/2013-11-17,144
2013-11-18/2013-11-24,203
2013-11-25/2013-12-01,258
2013-12-02/2013-12-08,365
2013-12-09/2013-12-15,492
2013-12-16/2013-12-22,989
2013-12-23/2013-12-29,1735
2013-12-30/2014-01-05,1705
2014-01-06/2014-01-12,1463
2014-01-13/2014-01-19,1446
2014-01-20/2014-01-26,1370
2014-01-27/2014-02-02,1160
2014-02-03/2014-02-09,910
2014-02-10/2014-02-16,720
2014-02-17/2014-02-23,566
2014-02-24/2014-03-02,434
2014-03-03/2014-03-09,374
2014-03-10/2014-03-16,347
2014-03-17/2014-03-23,307
2014-03-24/2014-03-30,322
2014-03-31/2014-04-06,347
2014-04-07/2014-04-13,297
2014-04-14/2014-04-20,251
2014-04-21/2014-04-27,206
2014-04-28/2014-05-04,157
2014-05-05/2014-05-11,126
2014-05-12/2014-05-18,104
2014-05-19/2014-05-25,80
2014-05-26/2014-06-01,61
2014-06-02/2014-06-08,47
2014-06-09/2014-06-15,33
2014-06-16/2014-06-22,27
2014-06-23/2014-06-29,19
2014-06-30/2014-07-06,22
2014-07-07/2014-07-13,19
2014-07-14/2014-07-20,14
2014-07-21/2014-07-27,14
2014-07-28/2014-08-03,18
2014-08-04/2014-08-10,18
2014-08-11/2014-08-17,14
2014-08-18/2014-08-24,18
2014-08-25/2014-08-31,26
2014-09-01/2014-09-07,38
2014-09-08/2014-09-14,45
2014-09-15/2014-09-21,47
2014-09-22/2014-09-28,52
2014-09-29/2014-10-05,62
2014-10-06/2014-10-12,78
2014-10-13/2014-10-19,86
2014-10-20/2014-10-26,90
2014-10-27/2014-11-02,104
2014-11-03/2014-11-09,123
2014-11-10/2014-11-16,176
2014-11-17/2014-11-23,402
2014-11-24/2014-11-30,748
2014-12-01/2014-12-07,852
2014-12-08/2014-12-14,1565
2014-12-15/2014-12-21,2628
2014-12-22/2014-12-28,4070
2014-12-29/2015-01-04,3015
2015-01-05/2015-01-11,1908
2015-01-12/2015-01-18,1884
2015-01-19/2015-01-25,1946
2015-01-26/2015-02-01,1711
2015-02-02/2015-02-08,1352
2015-02-09/2015-02-15,1114
2015-02-16/2015-02-22,903
2015-02-23/2015-03-01,740
2015-03-02/2015-03-08,693
2015-03-09/2015-03-15,612
2015-03-16/2015-03-22,489
2015-03-23/2015-03-29,432
2015-03-30/2015-04-05,380
2015-04-06/2015-04-12,326
2015-04-13/2015-04-19,229
2015-04-20/2015-04-26,161
2015-04-27/2015-05-03,128
2015-05-04/2015-05-10,106
2015-05-11/2015-05-17,62
2015-05-18/2015-05-24,45
2015-05-25/2015-05-31,39
2015-06-01/2015-06-07,29
2015-06-08/2015-06-14,34
2015-06-15/2015-06-21,25
2015-06-22/2015-06-28,21
2015-06-29/2015-07-05,18
2015-07-06/2015-07-12,16
2015-07-13/2015-07-19,13
2015-07-20/2015-07-26,13
2015-07-27/2015-08-02,16
2015-08-03/2015-08-09,18
2015-08-10/2015-08-16,14
2015-08-17/2015-08-23,17
2015-08-24/2015-08-30,21
2015-08-31/2015-09-06,29
2015-09-07/2015-09-13,39
2015-09-14/2015-09-20,50
2015-09-21/2015-09-27,58
2015-09-28/2015-10-04,65
2015-10-05/2015-10-11,73
2015-10-12/2015-10-18,77
2015-10-19/2015-10-25,79
2015-10-26/2015-11-01,81
2015-11-02/2015-11-08,89
2015-11-09/2015-11-15,91
2015-11-16/2015-11-22,97
2015-11-23/2015-11-29,106
2015-11-30/2015-12-06,111
2015-12-07/2015-12-13,117
2015-12-14/2015-12-20,116
2015-12-21/2015-12-27,153
2015-12-28/2016-01-03,177
2016-01-04/2016-01-10,165
2016-01-11/2016-01-17,170
2016-01-18/2016-01-24,205
2016-01-25/2016-01-31,253
2016-02-01/2016-02-07,362
2016-02-08/2016-02-14,526
2016-02-15/2016-02-21,809
2016-02-22/2016-02-28,1023
2016-02-29/2016-03-06,1305
2016-03-07/2016-03-13,1619
2016-03-14/2016-03-20,1326
2016-03-21/2016-03-27,1100
2016-03-28/2016-04-03,955
2016-04-04/2016-04-10,712
2016-04-11/2016-04-17,616
2016-04-18/2016-04-24,578
2016-04-25/2016-05-01,455
2016-05-02/2016-05-08,305
2016-05-09/2016-05-15,211
2016-05-16/2016-05-22,156
2016-05-23/2016-05-29,124
2016-05-30/2016-06-05,90
2016-06-06/2016-06-12,55
2016-06-13/2016-06-19,33
2016-06-20/2016-06-26,27
2016-06-27/2016-07-03,22
